Gen,rand-min,rand-avg,rand-max,best-overall
0,0.35, 0.61, 0.95, 1.59285714286
1,0.3, 0.766, 0.95, 1.59285714286
2,0.65, 0.816, 1.0, 1.64285714286
3,0.65, 0.818, 0.95, 1.15
4,0.7, 0.794, 0.95, 1.52142857143
5,0.7, 0.82, 0.95, 1.45
6,0.5, 0.782, 0.95, 1.45
7,0.6, 0.802, 0.95, 1.35
8,0.6, 0.776, 0.95, 1.7
9,0.65, 0.808, 0.95, 1.25
10,0.55, 0.808, 1.0, 1.35714285714
11,0.55, 0.784, 0.9, 1.35833333333
12,0.4, 0.766, 0.95, 1.45
13,0.25, 0.744, 0.95, 1.23571428571
14,0.55, 0.776, 0.95, 1.45
15,0.4, 0.786, 0.95, 1.30714285714
16,0.6, 0.798, 0.95, 1.30714285714
17,0.5, 0.812, 0.95, 1.16428571429
18,0.65, 0.81, 0.95, 1.23571428571
19,0.5, 0.78, 0.95, 1.16428571429
20,0.55, 0.792, 1.0, 1.14285714286
21,0.7, 0.81, 0.95, 1.25
22,0.6, 0.78, 0.95, 1.41428571429
23,0.65, 0.808, 0.95, 1.28333333333
24,0.6, 0.804, 0.95, 1.52142857143
25,0.4, 0.784, 0.95, 1.52142857143
