+0,randMin:0.15, 0.461, randMax:0.95, totalMax:1.35
 +1,randMin:0.45, 0.648, randMax:0.85, totalMax:1.05
 +2,randMin:0.3, 0.722, randMax:0.95, totalMax:1.66428571429
 +3,randMin:0.5, 0.766, randMax:0.9, totalMax:1.75714285714
 +4,randMin:0.5, 0.764, randMax:1.0, totalMax:1.57142857143
 +5,randMin:0.6, 0.793, randMax:0.95, totalMax:1.59285714286
 +6,randMin:0.65, 0.832, randMax:1.0, totalMax:1.5
 +7,randMin:0.6, 0.818, randMax:0.95, totalMax:1.45
 +8,randMin:0.35, 0.784, randMax:1.0, totalMax:1.5
 +9,randMin:0.475, 0.809, randMax:0.95, totalMax:1.59285714286
 +10,randMin:0.475, 0.793, randMax:0.95, totalMax:1.55
 +11,randMin:0.4, 0.819, randMax:0.95, totalMax:1.30714285714
 +12,randMin:0.15, 0.79, randMax:0.95, totalMax:1.62857142857
 +13,randMin:0.65, 0.85, randMax:1.0, totalMax:1.85714285714
 +14,randMin:0.3, 0.752, randMax:0.9, totalMax:1.4
 +15,randMin:0.4, 0.768, randMax:0.95, totalMax:1.45
 +16,randMin:0.65, 0.825, randMax:0.95, totalMax:1.45
 +17,randMin:0.65, 0.798, randMax:1.0, totalMax:1.39285714286
 +18,randMin:0.65, 0.826, randMax:0.95, totalMax:1.73571428571
 +19,randMin:0.45, 0.842, randMax:1.0, totalMax:1.64285714286
 +20,randMin:0.5, 0.838, randMax:1.0, totalMax:1.5
 +21,randMin:0.6, 0.852884615385, randMax:1.0, totalMax:1.78571428571
 +22,randMin:0.55, 0.847, randMax:1.0, totalMax:1.64285714286
 +23,randMin:0.7, 0.836, randMax:1.0, totalMax:1.75

 +0,randMin:0.1, 0.432, randMax:0.85, totalMax:1.35
 +1,randMin:0.3, 0.596, randMax:0.95, totalMax:1.73571428571
 +2,randMin:0.25, 0.716, randMax:0.95, totalMax:1.6
 +3,randMin:0.4, 0.753, randMax:1.0, totalMax:1.64285714286
 +4,randMin:0.65, 0.845, randMax:1.0, totalMax:1.42857142857
 +5,randMin:0.65, 0.812, randMax:0.95, totalMax:1.66428571429
 +6,randMin:0.6, 0.798, randMax:0.95, totalMax:1.36666666667
 +7,randMin:0.7, 0.832, randMax:1.0, totalMax:1.57142857143
 +8,randMin:0.45, 0.775, randMax:1.0, totalMax:1.60714285714
 +9,randMin:0.6, 0.834, randMax:1.0, totalMax:1.64285714286
 +10,randMin:0.45, 0.836, randMax:1.0, totalMax:1.57142857143
 +11,randMin:0.6, 0.854, randMax:1.0, totalMax:1.64285714286
 +12,randMin:0.65, 0.866, randMax:1.0, totalMax:1.42857142857
 +13,randMin:0.6, 0.792, randMax:1.0, totalMax:1.71428571429
 +14,randMin:0.6, 0.803, randMax:1.0, totalMax:1.4
 +15,randMin:0.65, 0.8, randMax:0.95, totalMax:1.66428571429
 +16,randMin:0.6, 0.783653846154, randMax:0.95, totalMax:1.66428571429
 +17,randMin:0.4, 0.804, randMax:0.95, totalMax:1.55714285714
 +18,randMin:0.5, 0.754, randMax:0.9, totalMax:1.4
 +19,randMin:0.7, 0.825961538462, randMax:0.95, totalMax:1.30714285714
 +20,randMin:0.45, 0.78, randMax:1.0, totalMax:1.28571428571
 +21,randMin:0.55, 0.811, randMax:1.0, totalMax:1.64285714286
 +22,randMin:0.4, 0.766, randMax:0.95, totalMax:1.30714285714
 +23,randMin:0.6, 0.792, randMax:1.0, totalMax:1.42857142857
 +24,randMin:0.5, 0.806, randMax:1.0, totalMax:1.57142857143
 +25,randMin:0.55, 0.796, randMax:0.9, totalMax:1.4
 +26,randMin:0.6, 0.818, randMax:0.95, totalMax:1.45

 +0,randMin:0.05, 0.394, randMax:0.75, totalMax:1.03571428571
 +1,randMin:0.3, 0.578, randMax:0.85, totalMax:1.15
 +2,randMin:0.5, 0.694, randMax:0.9, totalMax:1.47142857143
 +3,randMin:0.5, 0.739, randMax:0.9, totalMax:1.79285714286
 +4,randMin:0.45, 0.78, randMax:0.95, totalMax:1.40833333333
 +5,randMin:0.6, 0.784, randMax:0.9, totalMax:1.32857142857
 +6,randMin:0.65, 0.794, randMax:0.95, totalMax:1.55714285714
 +7,randMin:0.55, 0.797, randMax:0.95, totalMax:1.7
 +8,randMin:0.55, 0.762, randMax:0.95, totalMax:1.59285714286
 +9,randMin:0.45, 0.766, randMax:0.9, totalMax:1.5
 +10,randMin:0.45, 0.792307692308, randMax:0.95, totalMax:1.2
 +11,randMin:0.25, 0.772, randMax:1.0, totalMax:1.5
 +12,randMin:0.6, 0.790384615385, randMax:0.95, totalMax:1.59285714286
 +13,randMin:0.35, 0.735, randMax:0.95, totalMax:1.30714285714
 +14,randMin:0.5, 0.781, randMax:1.0, totalMax:1.7
 +15,randMin:0.35, 0.736538461538, randMax:0.95, totalMax:1.41428571429
 +16,randMin:0.65, 0.787, randMax:0.95, totalMax:1.62857142857
 +17,randMin:0.6, 0.81, randMax:1.0, totalMax:1.78571428571
 +18,randMin:0.55, 0.825, randMax:1.0, totalMax:1.42857142857
 +19,randMin:0.65, 0.813461538462, randMax:0.95, totalMax:1.59285714286
 +20,randMin:0.4, 0.794, randMax:0.95, totalMax:1.30714285714
 +21,randMin:0.45, 0.774, randMax:0.95, totalMax:1.27142857143
 +22,randMin:0.65, 0.796153846154, randMax:1.0, totalMax:1.42857142857
 +23,randMin:0.5, 0.786, randMax:1.0, totalMax:1.64285714286
 +24,randMin:0.45, 0.721, randMax:0.95, totalMax:1.55
 +25,randMin:0.6, 0.761, randMax:1.0, totalMax:1.85714285714
